naive time (ms),naive (bytes),iterator time (ms),iterator (bytes),typing time (ms),typing (bytes)
11934,218243840,5341,218243840,5121,190325504
11934,218768128,5341,218768128,5121,190849792
11934,219292416,5341,219292416,5122,191374080
11934,219816704,5341,219816704,5122,191898368
11934,220340992,5341,220340992,5122,192422656
11998,220865280,5405,220865280,5188,192553728
11999,221389568,5405,221389568,5188,192684800
11999,221520640,5405,221520640,5188,192815872
11999,221651712,5405,221651712,5188,192946944
11999,221782784,5405,221782784,5188,193078016
11999,221913856,5405,221913856,5188,193209088
11999,222044928,5405,222044928,5188,193241856
11999,222176000,5405,222176000,5188,193274624
11999,222307072,5405,222307072,5188,193405696
11999,222438144,5405,222438144,5188,193536768
11999,222569216,5405,222569216,5188,193667840
11999,222700288,5405,222700288,5188,193798912
11999,232137472,5405,232137472,5188,203236096
11999,241574656,5406,241574656,5188,212673280
11999,241576704,5406,241576704,5188,212675328
11999,241578752,5406,241578752,5188,212677376
11999,241709824,5406,241709824,5188,212808448
11999,241840896,5406,241840896,5188,212939520
11999,241971968,5406,241971968,5188,213070592
11999,242103040,5406,242103040,5189,213201664
12061,242234112,5468,242234112,5250,213234432
12061,242365184,5468,242365184,5251,213267200
12061,242496256,5469,242496256,5251,213398272
12061,242627328,5469,242627328,5251,213529344
12061,242758400,5469,242758400,5251,213660416
12061,242889472,5469,242889472,5251,213791488
12062,252326656,5469,252326656,5251,223228672
12062,261763840,5469,261763840,5251,232665856
12062,261765888,5469,261765888,5251,232667904
12062,261767936,5469,261767936,5251,232669952
12062,261899008,5469,261899008,5251,232801024
12062,262030080,5469,262030080,5251,232932096
12062,262161152,5469,262161152,5251,233063168
12062,262292224,5469,262292224,5251,233194240
12124,262423296,5534,262423296,5315,233227008
12124,262554368,5534,262554368,5315,233259776
12124,262685440,5534,262685440,5315,233390848
12124,262816512,5534,262816512,5315,233521920
12124,262947584,5534,262947584,5315,233652992
12124,263078656,5534,263078656,5315,233784064
12124,272515840,5534,272515840,5315,243221248
12124,281953024,5534,281953024,5315,252658432
12124,281955072,5534,281955072,5315,252660480
12124,281957120,5534,281957120,5315,252662528
12124,282088192,5534,282088192,5315,252793600
12124,282219264,5535,282219264,5315,252924672
12125,282350336,5535,282350336,5316,253055744
12125,282481408,5535,282481408,5316,253186816
12188,282612480,5598,282612480,5382,253219584
12188,282743552,5598,282743552,5382,253252352
12188,282776320,5598,282776320,5382,253285120
12188,282809088,5598,282809088,5382,253317888
12188,282841856,5598,282841856,5382,253350656
12188,282874624,5598,282874624,5382,253383424
12188,282907392,5598,282907392,5382,253391616
12188,282940160,5598,282940160,5382,253399808
12188,282972928,5598,282972928,5382,253432576
12188,283005696,5598,283005696,5382,253465344
12188,283038464,5598,283038464,5382,253498112
12188,283071232,5598,283071232,5382,253530880
12188,299848448,5598,299848448,5382,270308096
12188,316625664,5598,316625664,5382,287085312
12188,316633856,5598,316633856,5382,287093504
12188,316642048,5598,316642048,5382,287101696
12188,316674816,5598,316674816,5382,287134464
12188,316707584,5598,316707584,5382,287167232
12188,316740352,5598,316740352,5382,287200000
12188,316773120,5598,316773120,5382,287232768
12293,316805888,5704,316805888,5492,287240960
12293,316838656,5704,316838656,5492,287249152
12293,316871424,5704,316871424,5492,287281920
12293,316904192,5704,316904192,5492,287314688
12293,316936960,5704,316936960,5492,287347456
12293,316969728,5704,316969728,5492,287380224
12294,333746944,5704,333746944,5493,304157440
12294,350524160,5704,350524160,5493,320934656
12294,350532352,5704,350532352,5493,320942848
12294,350540544,5704,350540544,5493,320951040
12294,350573312,5704,350573312,5493,320983808
12294,350606080,5704,350606080,5493,321016576
12294,350638848,5704,350638848,5493,321049344
12294,350671616,5704,350671616,5493,321082112
12405,350704384,5807,350704384,5596,321090304
12405,350737152,5807,350737152,5596,321098496
12405,350769920,5807,350769920,5597,321131264
12405,350802688,5807,350802688,5597,321164032
12405,350835456,5807,350835456,5597,321196800
12405,350868224,5807,350868224,5597,321229568
12405,352506624,5808,352506624,5597,322867968
12405,354145024,5808,354145024,5598,324506368
12405,354145824,5808,354145824,5598,324507168
12405,354146624,5808,354146624,5598,324507968
12405,354149824,5808,354149824,5598,324511168
12405,354153024,5808,354153024,5598,324514368
12405,354156224,5808,354156224,5598,324517568
12405,354159424,5808,354159424,5598,324520768
12415,354162624,5817,354162624,5607,324521568
12415,354165824,5817,354165824,5607,324522368
12415,354169024,5818,354169024,5607,324525568
12415,354172224,5818,354172224,5607,324528768
12415,354175424,5818,354175424,5607,324531968
12415,354178624,5818,354178624,5607,324535168
13399,354227776,6837,354227776,6605,324584320
13399,354276928,6837,354276928,6605,324633472
13399,354276928,6837,354276928,6605,324633472
13399,354276928,6837,354276928,6605,324633472
13399,354719296,6837,354719296,6605,325075840
13399,355161664,6837,355161664,6605,325518208
13399,356210240,6838,356210240,6606,326566784
13400,357258816,6838,357258816,6606,327615360
13400,358307392,6839,358307392,6607,328663936
13413,359355968,6853,359355968,6621,329712512
13413,360404544,6853,360404544,6621,330761088
13414,361453120,6854,361453120,6621,331809664
13414,362501696,6854,362501696,6622,332858240
13415,363550272,6854,363550272,6622,333906816
13415,364598848,6859,362501696,6628,332858240
13416,365647424,6860,361453120,6629,331809664
13420,364598848,6860,360404544,6629,330761088
13421,363550272,6861,359355968,6630,329712512
13422,364598848,6861,358307392,6630,328663936
13422,365647424,6861,357258816,6630,327615360
13423,366696000,6862,356210240,6631,326566784
13423,367744576,6862,355161664,6632,325518208
13423,366696000,6864,354719296,6632,325075840
13424,365647424,6864,354276928,6632,324633472
13424,364598848,6864,354227776,6632,324584320
13424,363550272,6864,354178624,6632,324535168
13425,362501696,6864,354227776,6632,324584320
13425,361453120,6864,354276928,6632,324633472
13425,360404544,6864,354276928,6632,324633472
13426,359355968,6864,354276928,6632,324633472
13426,358307392,6864,354719296,6632,325075840
13426,357258816,6864,355161664,6633,325518208
13427,356210240,6865,356210240,6633,326566784
13427,355161664,6865,357258816,6633,327615360
13428,354719296,6865,358307392,6634,328663936
13428,354276928,6880,359355968,6648,329712512
13428,354227776,6881,360404544,6648,330761088
13428,354178624,6881,361453120,6648,331809664
13428,354227776,6882,362501696,6649,332858240
13428,354276928,6882,363550272,6649,333906816
13428,354276928,6886,362501696,6653,332858240
13428,354276928,6886,361453120,6653,331809664
13428,354719296,6887,360404544,6653,330761088
13428,355161664,6887,359355968,6654,329712512
13429,356210240,6888,358307392,6654,328663936
13429,357258816,6888,357258816,6654,327615360
13429,358307392,6888,356210240,6655,326566784
13443,359355968,6889,355161664,6657,325518208
13443,360404544,6889,354719296,6657,325075840
13443,361453120,6889,354276928,6657,324633472
13444,362501696,6890,354227776,6657,324584320
13444,363550272,6890,354178624,6657,324535168
13445,364598848,6890,354227776,6657,324584320
13445,365647424,6890,354276928,6657,324633472
13448,364598848,6890,354276928,6657,324633472
13448,363550272,6890,354276928,6657,324633472
13449,364598848,6890,354719296,6657,325075840
13450,365647424,6890,355161664,6658,325518208
13450,366696000,6891,356210240,6658,326566784
13451,367744576,6891,357258816,6658,327615360
13451,366696000,6891,358307392,6659,328663936
13451,365647424,6906,359355968,6673,329712512
13451,364598848,6906,360404544,6673,330761088
13452,363550272,6907,361453120,6674,331809664
13452,362501696,6907,362501696,6674,332858240
13453,361453120,6907,363550272,6674,333906816
13453,360404544,6914,362501696,6679,332858240
13453,359355968,6916,361453120,6679,331809664
13454,358307392,6916,360404544,6680,330761088
13454,357258816,6917,359355968,6680,329712512
13454,356210240,6917,358307392,6681,328663936
13455,355161664,6918,357258816,6681,327615360
13455,354719296,6918,356210240,6681,326566784
13455,354276928,6919,355161664,6682,325518208
13455,354227776,6919,354719296,6682,325075840
13455,354178624,6919,354276928,6682,324633472
13455,354227776,6920,354227776,6682,324584320
13455,354276928,6920,354178624,6682,324535168
13455,354276928,6920,354227776,6682,324584320
13455,354276928,6920,354276928,6682,324633472
13455,354719296,6920,354276928,6682,324633472
13456,355161664,6920,354276928,6682,324633472
13456,356210240,6920,354719296,6682,325075840
13456,357258816,6920,355161664,6682,325518208
13456,358307392,6920,356210240,6682,326566784
13470,359355968,6921,357258816,6683,327615360
13470,360404544,6921,358307392,6683,328663936
13470,361453120,6931,359355968,6696,329712512
13471,362501696,6931,360404544,6697,330761088
13471,363550272,6932,361453120,6697,331809664
13472,364598848,6932,362501696,6697,332858240
13472,365647424,6932,363550272,6698,333906816
13475,364598848,6942,362501696,6702,332858240
13476,363550272,6942,361453120,6702,331809664
13477,364598848,6942,360404544,6703,330761088
13477,365647424,6943,359355968,6703,329712512
13478,366696000,6943,358307392,6704,328663936
13478,367744576,6943,357258816,6704,327615360
13478,366696000,6944,356210240,6705,326566784
13478,365647424,6944,355161664,6705,325518208
13479,364598848,6944,354719296,6706,325075840
13479,363550272,6944,354276928,6706,324633472
13480,362501696,6945,354227776,6706,324584320
13480,361453120,6945,354178624,6706,324535168
13480,360404544,6946,358372928,6706,328729472
13481,359355968,6946,362567232,6707,332923776
13481,358307392,6946,496784960,6707,366478208
13482,357258816,6947,631002688,6707,400032640
13482,356210240,6947,635196992,6708,404226944
13482,355161664,6956,639391296,6715,408421248
13482,354719296,6959,635196992,6718,404226944
13483,354276928,6961,769414720,6720,437781376
13483,354227776,6962,773609024,6721,438829952
13483,354178624,6962,777803328,6721,439878528
13483,354227776,6963,912021056,6722,473432960
13483,354276928,6964,1046238784,6722,506987392
13483,354276928,6965,1180456512,6722,540541824
13483,354276928,6965,1314674240,6723,574096256
13483,354719296,6966,1318868544,6723,575144832
13483,355161664,6967,1323062848,6724,576193408
13483,356210240,6967,1390171712,6724,592970624
13483,357258816,6968,1457280576,6725,609747840
13483,358307392,7264,1390171712,6848,592970624
13496,359355968,7270,1323062848,6850,576193408
13496,360404544,7289,1390171712,6854,592970624
13497,361453120,7289,1457280576,6856,609747840
13497,362501696,7502,1390171712,6942,592970624
13497,363550272,7507,1323062848,6943,576193408
13498,364598848,7535,1356617280,6947,584582016
13498,365647424,7536,1390171712,6947,592970624
13502,364598848,7648,1356617280,6978,584582016
13502,363550272,7651,1323062848,6979,576193408
13503,364598848,7659,1356617280,6981,584582016
13503,365647424,7660,1390171712,6982,592970624
13504,366696000,7769,1356617280,7007,584582016
13504,367744576,7772,1323062848,7008,576193408
13504,366696000,7777,1339840064,7011,580387712
13504,365647424,7780,1356617280,7012,584582016
13505,364598848,7871,1339840064,7048,580387712
13505,363550272,7872,1323062848,7049,576193408
13505,362501696,7875,1339840064,7050,580387712
13506,361453120,7875,1356617280,7050,584582016
13506,360404544,7954,1339840064,7068,580387712
13507,359355968,7955,1323062848,7069,576193408
13507,358307392,7958,1331451456,7069,578290560
13507,357258816,7960,1339840064,7070,580387712
13508,356210240,8025,1331451456,7089,578290560
13508,355161664,8026,1323062848,7089,576193408
13508,354719296,8027,1331451456,7089,578290560
13509,354276928,8027,1339840064,7089,580387712
13509,354227776,8070,1331451456,7104,578290560
13509,354178624,8071,1323062848,7104,576193408
